updatetime,language,totalcommits,sloc,ageyear,contributor,hourabslog,sloclog,commitlog,durationlog,contrilog,category,dynamicstatic,strongweak
66.76055556,Java,6903,65184,5.111422261,66,1.824519942,4.814141007,3.839037873,0.70854176,1.819543936,static-strong,static,strong
70.29555556,Java,1900,24702,3.069155511,57,1.846927868,4.392732117,3.278753601,0.487018894,1.755874856,static-strong,static,strong
96.6975,Java,1026,7218,5.513101112,35,1.985415246,3.858416878,3.011147361,0.741395958,1.544068044,static-strong,static,strong
111.1886111,Java,2090,125627,5.581136445,57,2.046060305,5.099082989,3.320146286,0.74672264,1.755874856,static-strong,static,strong
143.4233333,Java,143,26862,0.667249486,12,2.156619812,4.429138345,2.155336037,-0.175711752,1.079181246,static-strong,static,strong
155.6636111,Java,2022,50051,4.518490033,101,2.192187101,4.699412759,3.305781151,0.654993329,2.004321374,static-strong,static,strong
222.47875,Java,1266,425688,2.205790766,84,2.347288536,5.629091408,3.102433706,0.343564314,1.924279286,static-strong,static,strong
246.7208333,Java,337,3212,4.914671328,21,2.392205823,3.506775537,2.527629901,0.691494479,1.322219295,static-strong,static,strong
321.6598611,Java,1448,16969,6.754437275,105,2.50739687,4.22965625,3.160768562,0.829589173,2.021189299,static-strong,static,strong
375.0280556,Java,2842,69397,5.462960648,149,2.574063758,4.841340697,3.453624074,0.737428072,2.173186268,static-strong,static,strong
437.0022222,Java,2905,52510,4.849801472,132,2.640483645,4.720242018,3.463146137,0.685723961,2.120573931,static-strong,static,strong
505.6051389,Java,837,19656,5.613396541,6,2.703811479,4.293495143,2.922725458,0.749225723,0.77815125,static-strong,static,strong
507.9813889,Java,399,1538,4.866128472,27,2.705847801,3.186956335,2.600972896,0.687183571,1.431363764,static-strong,static,strong
659.9127778,Java,242,2777,2.746972544,9,2.819486538,3.44357588,2.383815366,0.438854319,0.954242509,static-strong,static,strong
988.8765278,Java,334,3986,2.043066615,37,2.995142069,3.600537294,2.523746467,0.310282527,1.568201724,static-strong,static,strong
1021.440972,Java,966,9355,4.030193319,73,3.009213274,3.971043792,2.984977126,0.605325879,1.86332286,static-strong,static,strong
4375.244028,Java,679,44917,3.134875257,32,3.641002281,4.652410742,2.831869774,0.496220264,1.505149978,static-strong,static,strong
35.75347222,JS,1565,12128,7.02395544,195,1.553318225,4.083789188,3.194514342,0.846581748,2.290034611,dynamic-weak,dynamic,weak
41.43138889,JS,282,640,5.426575392,50,1.617329492,2.806179974,2.450249108,0.734525841,1.698970004,dynamic-weak,dynamic,weak
43.20222222,JS,821,2067,3.15947129,127,1.635506086,3.315340477,2.914343157,0.499614413,2.103803721,dynamic-weak,dynamic,weak
46.18736111,JS,7332,52574,4.058431295,270,1.66452315,4.720771021,3.865222456,0.608358198,2.431363764,dynamic-weak,dynamic,weak
47.06777778,JS,6230,72342,4.12922055,166,1.672723694,4.859390511,3.794488047,0.61586808,2.220108088,dynamic-weak,dynamic,weak
51.43611111,JS,10407,44981,2.393770608,423,1.711268126,4.653029106,4.017325555,0.37908253,2.626340367,dynamic-weak,dynamic,weak
55.64111111,JS,2306,22970,4.190284336,207,1.745395794,4.361160995,3.362859303,0.622243493,2.315970345,dynamic-weak,dynamic,weak
62.82222222,JS,1274,5426,3.672225148,97,1.798113295,3.734479789,3.105169428,0.5649293,1.986771734,dynamic-weak,dynamic,weak
69.10194444,JS,17181,1311821,2.47130173,464,1.839490268,6.117874579,4.235048438,0.392925773,2.666517981,dynamic-weak,dynamic,weak
83.66180556,JS,1400,20788,1.307678884,253,1.922527233,4.317812708,3.146128036,0.116501111,2.403120521,dynamic-weak,dynamic,weak
94.69097222,JS,3883,38416,5.225215599,289,1.976308576,4.584512143,3.589167391,0.718104215,2.460897843,dynamic-weak,dynamic,weak
142.8306944,JS,6242,69624,6.71053678,414,2.154821548,4.842758971,3.795323764,0.826757261,2.617000341,dynamic-weak,dynamic,weak
150.3394444,JS,3914,9930,3.009909626,432,2.177072941,3.996949248,3.592620821,0.478553456,2.635483747,dynamic-weak,dynamic,weak
156.6815278,JS,5442,47998,2.74916686,433,2.195017798,4.681223141,3.735758537,0.4392011,2.636487896,dynamic-weak,dynamic,weak
172.5327778,JS,5865,45155,2.58536034,96,2.236871615,4.654705847,3.768268016,0.412521082,1.982271233,dynamic-weak,dynamic,weak
190.7047222,JS,8462,231582,7.431877668,441,2.280361447,5.3647048,3.927473021,0.871098552,2.644438589,dynamic-weak,dynamic,weak
210.9670833,JS,3432,145404,6.267735147,414,2.324214699,5.162576354,3.535547279,0.797110636,2.617000341,dynamic-weak,dynamic,weak
229.1836111,JS,1916,5785,5.993645126,208,2.360183558,3.762303363,3.282395505,0.777691025,2.318063335,dynamic-weak,dynamic,weak
234.2030556,JS,2393,12355,7.715714924,220,2.369592557,4.09184275,3.378942699,0.887376173,2.342422681,dynamic-weak,dynamic,weak
252.5554167,JS,18664,186241,5.367827386,345,2.402356688,5.270075295,4.271004726,0.729798542,2.537819095,dynamic-weak,dynamic,weak
266.4318056,JS,6217,43172,8.202391525,261,2.425586068,4.635202168,3.793580867,0.913940496,2.416640507,dynamic-weak,dynamic,weak
272.0988889,JS,3526,21381,4.012103749,151,2.434726768,4.330028014,3.547282308,0.603372155,2.178976947,dynamic-weak,dynamic,weak
284.5547222,JS,14276,79525,6.02920589,390,2.454165797,4.900503678,4.154606539,0.780260115,2.591064607,dynamic-weak,dynamic,weak
287.5097222,JS,6606,22786,5.201878376,211,2.458652535,4.357668093,3.819938569,0.716160194,2.324282455,dynamic-weak,dynamic,weak
290.7725,JS,1562,1513,7.379854552,213,2.46355333,3.179838928,3.19368103,0.868047802,2.328379603,dynamic-weak,dynamic,weak
319.6354167,JS,762,24601,5.048211098,10,2.504654895,4.390952761,2.881954971,0.703137507,1,dynamic-weak,dynamic,weak
406.6790278,JS,9664,71690,6.111743731,230,2.609251777,4.85545858,3.985156921,0.786165136,2.361727836,dynamic-weak,dynamic,weak
410.4605556,JS,8520,116992,4.002284144,464,2.613271429,5.068156165,3.930439595,0.602307918,2.666517981,dynamic-weak,dynamic,weak
435.8991667,JS,764,5995,0.853469618,130,2.639386039,3.777789187,2.883093359,-0.068811934,2.113943352,dynamic-weak,dynamic,weak
550.41875,JS,2825,517524,6.004636285,282,2.74069322,5.713930495,3.451018452,0.778486706,2.450249108,dynamic-weak,dynamic,weak
633.8479167,JS,17369,299450,5.485041152,332,2.801985067,5.476324317,4.239774815,0.73917989,2.521138084,dynamic-weak,dynamic,weak
717.7833333,JS,1660,174225,7.252035494,138,2.85599337,5.241110473,3.220108088,0.860459921,2.139879086,dynamic-weak,dynamic,weak
937.4516667,JS,1308,13615,2.88124521,127,2.971948886,4.134017646,3.116607744,0.459580221,2.103803721,dynamic-weak,dynamic,weak
1066.151667,JS,2892,14355,2.679676633,199,3.02781899,4.157003197,3.461198289,0.428082389,2.298853076,dynamic-weak,dynamic,weak
2968.365972,JS,1194,5185,5.247109439,84,3.472517444,3.714748761,3.077004327,0.719920122,1.924279286,dynamic-weak,dynamic,weak
11.54472222,Obj-C,70,2290,6.869663677,4,1.062383488,3.359835482,1.84509804,0.836935476,0.602059991,static-weak,static,weak
13.25055556,Obj-C,189,9716,6.630129662,4,1.122234087,3.987487506,2.276461804,0.821522022,0.602059991,static-weak,static,weak
14.51555556,Obj-C,445,7885,2.960782182,37,1.161833662,3.896801698,2.648360011,0.471406459,1.568201724,static-weak,static,weak
35.27166667,Obj-C,260,6578,0.582101402,36,1.547425982,3.818093869,2.414973348,-0.235001355,1.556302501,static-weak,static,weak
